t_depart,t_arrive,from_node,to_node,vehicle,n_ships,Carried SC: Vehicle_1,active_isru,consumables,crew,crew_interim,crew_return,equipment,packaged_isru,propellant,samples,total_flow
0,5,Low Earth Orbit,Low Earth Orbit,Vehicle_0,1.0,0.0,0.0,104.3,0.0,0.0,0.0,0.0,894.778885370377,0.0,0.0,999.078885370377
0,5,Low Earth Orbit,Low Earth Orbit,Vehicle_1,1.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,3390.215853829833,0.0,3520.215853829833
0,3,Low Earth Orbit,Low Lunar Orbit,Vehicle_0,1.0,30.0,0.0,191.7,300.0,0.0,0.0,420.0,0.0,7253.988188496973,0.0,8195.688188496973
3,4,Low Lunar Orbit,Low Lunar Orbit,Vehicle_1,1.0,0.0,0.0,30.0,0.0,100.0,0.0,0.0,0.0,1726.339667732456,0.0,1856.339667732456
3,4,Low Lunar Orbit,Lunar surface,Vehicle_0,1.0,0.0,0.0,97.8,200.0,0.0,0.0,420.0,0.0,1599.2550560100644,0.0,2317.0550560100646
4,5,Low Lunar Orbit,Low Lunar Orbit,Vehicle_1,1.0,0.0,0.0,22.9,0.0,100.0,0.0,0.0,0.0,1726.339667732456,0.0,1849.2396677324562
4,5,Lunar surface,Lunar surface,Vehicle_0,1.0,0.0,0.0,83.6,0.0,200.0,0.0,0.0,0.0,679.5170808164514,0.0,963.1170808164514
5,9,Low Earth Orbit,Low Earth Orbit,Vehicle_1,1.0,0.0,0.0,85.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.2
5,8,Low Earth Orbit,Low Lunar Orbit,Vehicle_0,1.0,0.0,0.0,149.1,0.0,0.0,0.0,0.0,894.778885370377,3390.215853829833,0.0,4434.09473920021
5,6,Low Lunar Orbit,Low Lunar Orbit,Vehicle_1,1.0,0.0,0.0,15.8,0.0,100.0,0.0,0.0,0.0,1726.339667732456,0.0,1842.139667732456
5,6,Lunar surface,Low Lunar Orbit,Vehicle_0,1.0,0.0,0.0,69.4,0.0,0.0,200.0,0.0,0.0,679.5170808164514,110.0,1058.9170808164513
6,9,Low Lunar Orbit,Low Earth Orbit,Vehicle_0,1.0,0.0,0.0,63.9,0.0,0.0,300.0,0.0,0.0,1726.339667732456,110.0,2200.239667732456
8,9,Low Lunar Orbit,Low Lunar Orbit,Vehicle_0,1.0,30.0,0.0,149.1,0.0,0.0,0.0,0.0,894.778885370377,843.4089558166395,0.0,1917.2878411870165
9,10,Low Earth Orbit,Earth Surface,Vehicle_0,1.0,0.0,0.0,21.3,0.0,0.0,300.0,0.0,0.0,0.0,110.0,431.3
9,10,Low Earth Orbit,Low Earth Orbit,Vehicle_1,1.0,0.0,0.0,63.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.9
9,10,Low Lunar Orbit,Low Lunar Orbit,Vehicle_0,1.0,30.0,0.0,149.1,0.0,0.0,0.0,0.0,894.778885370377,843.4089558166395,0.0,1917.2878411870165
10,11,Earth Surface,Earth Surface,Vehicle_0,1.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,110.0,410.0
10,11,Low Earth Orbit,Low Earth Orbit,Vehicle_1,1.0,0.0,0.0,63.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.9
10,11,Low Lunar Orbit,Lunar surface,Vehicle_0,1.0,30.0,0.0,149.1,0.0,0.0,0.0,0.0,894.778885370377,843.4089558166395,0.0,1917.2878411870165
11,365,Low Earth Orbit,Low Earth Orbit,Vehicle_1,1.0,0.0,0.0,63.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.9
11,365,Lunar surface,Lunar surface,Vehicle_0,1.0,0.0,894.778885370377,149.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043.878885370377
365,368,Low Earth Orbit,Low Lunar Orbit,Vehicle_0,1.0,30.0,0.0,63.9,300.0,0.0,0.0,0.0,0.0,1679.8999174319763,0.0,2073.799917431976
365,367,Lunar surface,Lunar surface,Vehicle_0,1.0,0.0,894.778885370377,149.1,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,5043.878885370377
365,367,Lunar surface,Lunar surface,Vehicle_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.486953152719042,0.0,8.486953152719042
367,368,Lunar surface,Low Lunar Orbit,Vehicle_0,1.0,0.0,0.0,120.7,0.0,0.0,0.0,0.0,0.0,3593.8928179336117,110.0,3824.5928179336115
367,368,Lunar surface,Lunar surface,Vehicle_1,1.0,0.0,101.6,28.4,0.0,0.0,0.0,0.0,0.0,437.240954163473,0.0,567.240954163473
368,369,Low Lunar Orbit,Low Lunar Orbit,Vehicle_0,1.0,0.0,0.0,106.5,0.0,100.0,0.0,0.0,0.0,1738.704251249958,110.0,2055.204251249958
368,369,Low Lunar Orbit,Lunar surface,Vehicle_0,1.0,30.0,0.0,14.2,200.0,0.0,0.0,0.0,0.0,647.6108818422263,0.0,891.8108818422263
368,369,Lunar surface,Lunar surface,Vehicle_1,1.0,0.0,100.0,28.4,0.0,0.0,0.0,0.0,0.0,437.2409541634731,0.0,565.6409541634731
369,370,Low Lunar Orbit,Low Lunar Orbit,Vehicle_0,1.0,0.0,0.0,99.4,0.0,100.0,0.0,0.0,0.0,1738.704251249958,110.0,2048.104251249958
369,370,Lunar surface,Lunar surface,Vehicle_0,1.0,0.0,100.0,28.4,0.0,200.0,0.0,0.0,0.0,0.0,0.0,328.4
369,370,Lunar surface,Lunar surface,Vehicle_1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.2409541634731,0.0,437.2409541634731
370,371,Low Lunar Orbit,Low Lunar Orbit,Vehicle_0,1.0,0.0,0.0,92.3,0.0,100.0,0.0,0.0,0.0,1738.704251249958,110.0,2041.0042512499579
370,371,Lunar surface,Low Lunar Orbit,Vehicle_1,2.0,0.0,0.0,14.2,0.0,0.0,200.0,0.0,0.0,437.2409541634731,0.0,651.4409541634731
