t_depart,t_arrive,from_node,to_node,vehicle,n_ships,Carried SC: Type_1,Carried SC: Type_2,active_isru,consumables,crew,crew_interim,crew_return,equipment,maintenance_mass,packaged_isru,propellant_kerosene,propellant_oxygen,samples,total_flow
0,1,Earth Surface,Low Earth Orbit,Type_1,2.0,0.0,7342.0,0.0,1328.1827776261143,1200.0,0.0,0.0,4200.0,0.0,1641.18838397626,101255.06878274091,319795.9312172591,0.0,436762.3711616024
0,1,Earth Surface,Low Earth Orbit,Type_2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888.118838397626,0.0,23891.0,0.0,0.0,25779.118838397626
1,4,Low Earth Orbit,Low Lunar Orbit,Type_1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,494.9,1641.18838397626,111844.7842507126,285315.2157492874,0.0,403496.08838397625
1,4,Low Earth Orbit,Low Lunar Orbit,Type_2,2.0,0.0,0.0,0.0,1328.1827776261143,1200.0,0.0,0.0,0.0,1393.2188383976259,0.0,13301.284532028309,34480.71546797169,0.0,51703.40161602374
4,9,Low Lunar Orbit,Low Lunar Orbit,Type_1,1.0,0.0,0.0,0.0,411.12,0.0,0.0,0.0,0.0,394.28999999999974,0.0,6708.257320378489,17175.79134158144,0.0,24689.45866195993
4,5,Low Lunar Orbit,Lunar surface,Type_1,1.0,0.0,0.0,0.0,608.7227776261143,1200.0,0.0,0.0,1921.827222373886,247.45,0.0,9029.859210121926,17422.36913924881,0.0,30430.228349370736
4,5,Low Lunar Orbit,Lunar surface,Type_2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2278.172777626114,604.638838397626,1641.18838397626,5347.025017288857,18794.734606338356,0.0,28665.759623627215
5,8,Lunar surface,Lunar surface,Type_2,2.0,0.0,0.0,1641.18838397626,505.9427776261143,0.0,1200.0,0.0,0.0,457.798838397626,0.0,2224.2084088217,5105.609675138022,0.0,11134.748083959723
8,9,Lunar surface,Low Lunar Orbit,Type_2,1.0,0.0,0.0,0.0,102.77999999773446,0.0,0.0,1200.0,0.0,73.42,0.0,2027.1893150356807,5189.575779430964,500.0,9092.96509446438
8,370,Lunar surface,Lunar surface,Type_2,1.0,0.0,0.0,1641.18838397626,94.82277762611422,0.0,0.0,0.0,0.0,236.18991643819345,0.0,197.01909378601908,0.0,289.7989219594324,2459.0190937860193
9,12,Low Lunar Orbit,Low Earth Orbit,Type_2,1.0,0.0,0.0,0.0,411.12,0.0,0.0,1200.0,0.0,146.83999999999997,0.0,6708.257320378489,17173.043214966787,500.0,26139.260535345275
12,13,Low Earth Orbit,Earth Surface,Type_2,1.0,0.0,0.0,0.0,102.78000000001794,0.0,0.0,1200.0,0.0,73.42,0.0,0.0,0.0,500.0,1876.200000000018
365,366,Earth Surface,Low Earth Orbit,Type_2,3.0,49490.0,0.0,0.0,2063.557222373886,1200.0,0.0,0.0,7461.1,3365.082777626116,0.0,142911.0043092282,315666.24677218066,0.0,522156.99108140887
366,369,Low Earth Orbit,Low Lunar Orbit,Type_1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7461.1,494.9,0.0,123233.54919535742,265292.24188651145,0.0,396481.79108186887
366,369,Low Earth Orbit,Low Lunar Orbit,Type_2,3.0,0.0,0.0,0.0,2063.557222373886,1200.0,0.0,0.0,0.0,2870.1827776261143,0.0,19677.45511387079,50374.0048856692,0.0,76185.19999954
369,374,Low Lunar Orbit,Low Lunar Orbit,Type_1,2.0,0.0,0.0,0.0,1336.1399999999999,0.0,0.0,0.0,3119.07606077151,1825.0239392284884,0.0,19818.136828392435,16755.437715008786,0.0,42853.81454340122
369,370,Low Lunar Orbit,Lunar surface,Type_2,3.0,0.0,0.0,0.0,419.0772223738858,1200.0,0.0,0.0,4342.023939228488,824.898838397626,0.0,14061.144207049034,19785.302627759374,0.0,40632.446834808405
370,373,Lunar surface,Lunar surface,Type_2,3.0,0.0,0.0,1641.18838397626,411.12,0.0,1200.0,0.0,142.0239392284883,604.638838397626,0.0,6529.486471273645,10230.482222142984,0.0,20758.939855019
373,374,Lunar surface,Low Lunar Orbit,Type_2,2.0,0.0,0.0,0.0,102.78,0.0,0.0,1200.0,0.0,146.84,0.0,3861.856918626915,10313.628346828405,1000.0,16625.10526545532
373,735,Lunar surface,Lunar surface,Type_2,1.0,0.0,0.0,1641.18838397626,0.0,0.0,0.0,0.0,142.0239392284883,236.18991643819345,0.0,2667.6295526467297,0.0,242.59776035705818,4929.62955264673
