Variable,Value
"Classic_commodity_outflow_1,0,1,Tstart0,Tend1,Commoditycrew",3.0
"Classic_commodity_outflow_1,0,1,Tstart0,Tend1,Commodityequipment",200.0
"Classic_commodity_outflow_1,0,1,Tstart0,Tend1,Commoditypropellant",81997.68365077983
"Classic_commodity_outflow_1,1,2,Tstart1,Tend4,Commoditycrew",3.0
"Classic_commodity_outflow_1,1,2,Tstart1,Tend4,Commodityconsumables",123.99999628200636
"Classic_commodity_outflow_1,1,2,Tstart1,Tend4,Commodityequipment",420.0
"Classic_commodity_outflow_1,1,2,Tstart1,Tend4,Commoditypropellant",84355.68365077993
"Classic_commodity_outflow_1,2,2,Tstart4,Tend5,Commoditypropellant",8651.360954583157
"Classic_commodity_outflow_1,2,2,Tstart5,Tend6,Commoditypropellant",8651.36095458339
"Classic_commodity_outflow_1,2,2,Tstart6,Tend7,Commoditypropellant",8651.360954585181
"Classic_commodity_outflow_2,0,1,Tstart0,Tend1,Commodityconsumables",123.99999628203058
"Classic_commodity_outflow_2,0,1,Tstart0,Tend1,Commodityequipment",220.0
"Classic_commodity_outflow_2,0,1,Tstart0,Tend1,Commoditypropellant",2358.0
"Classic_commodity_outflow_2,2,2,Tstart4,Tend5,Commodityconsumables",61.99999628368612
"Classic_commodity_outflow_2,2,2,Tstart4,Tend5,Commoditycrew_interim",1.0
"Classic_commodity_outflow_2,2,2,Tstart5,Tend6,Commodityconsumables",57.86666295035279
"Classic_commodity_outflow_2,2,2,Tstart5,Tend6,Commoditycrew_interim",1.0
"Classic_commodity_outflow_2,2,2,Tstart6,Tend7,Commodityconsumables",53.73332961827685
"Classic_commodity_outflow_2,2,2,Tstart6,Tend7,Commoditycrew_interim",1.0
"Classic_commodity_outflow_4,1,0,Tstart10,Tend11,Commoditycrew_return",3.0
"Classic_commodity_outflow_4,1,0,Tstart10,Tend11,Commodityconsumables",12.4
"Classic_commodity_outflow_4,1,0,Tstart10,Tend11,Commoditysamples",110.0
